Format Version,1.23,Take Name,rec4,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2019-12-18 04.41.51.694 PM,Total Frames in Take,7268,Total Exported Frames,7268,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody
,ID,"636DE25121A511EAA8B64249E5500F9F","636DE25121A511EAA8B64249E5500F9F","636DE25121A511EAA8B64249E5500F9F","636DE25121A511EAA8B64249E5500F9F","636DE25121A511EAA8B64249E5500F9F","636DE25121A511EAA8B64249E5500F9F","636DE25121A511EAA8B64249E5500F9F","636DE25121A511EAA8B64249E5500F9F"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,
1427,11.891667,0.004859,0.997446,-0.021068,0.068074,-1.605940,1.325942,0.141877,0.001534
1428,11.900000,0.004946,0.997452,-0.020898,0.068035,-1.605924,1.325929,0.141881,0.001523
1429,11.908333,0.004970,0.997452,-0.020884,0.068029,-1.605922,1.325927,0.141882,0.001526
1430,11.916667,0.004989,0.997451,-0.020892,0.068039,-1.605924,1.325933,0.141878,0.001528
1431,11.925000,0.005190,0.997462,-0.020492,0.067990,-1.605887,1.325891,0.141895,0.001521
1432,11.933333,0.004994,0.997453,-0.020848,0.068035,-1.605919,1.325925,0.141880,0.001525
1433,11.941667,0.004975,0.997450,-0.020932,0.068047,-1.605931,1.325933,0.141880,0.001535
1434,11.950000,0.005188,0.997463,-0.020495,0.067976,-1.605887,1.325899,0.141894,0.001513
1435,11.958333,0.004951,0.997447,-0.020997,0.068069,-1.605936,1.325938,0.141876,0.001530
1436,11.966667,0.004999,0.997454,-0.020780,0.068031,-1.605914,1.325918,0.141891,0.001527
1437,11.975000,0.004969,0.997450,-0.020905,0.068064,-1.605927,1.325927,0.141882,0.001527
1438,11.983333,0.004895,0.997449,-0.021010,0.068053,-1.605940,1.325937,0.141881,0.001532
1439,11.991667,0.005265,0.997466,-0.020327,0.067977,-1.605872,1.325876,0.141914,0.001517
1440,12.000000,0.005097,0.997458,-0.020675,0.068008,-1.605897,1.325903,0.141902,0.001518
1441,12.008333,0.005020,0.997454,-0.020802,0.068028,-1.605915,1.325920,0.141894,0.001525
1442,12.016667,0.004933,0.997451,-0.020956,0.068026,-1.605922,1.325929,0.141894,0.001527
1443,12.025000,0.004928,0.997447,-0.021007,0.068069,-1.605936,1.325936,0.141886,0.001532
1444,12.033333,0.005045,0.997453,-0.020791,0.068041,-1.605912,1.325915,0.141895,0.001521
1445,12.041667,0.005048,0.997458,-0.020695,0.067997,-1.605901,1.325908,0.141901,0.001523
1446,12.050000,0.004874,0.997445,-0.021128,0.068064,-1.605937,1.325944,0.141888,0.001538
1447,12.058333,0.004888,0.997447,-0.021036,0.068062,-1.605923,1.325928,0.141888,0.001531
1448,12.066667,0.004911,0.997447,-0.021032,0.068066,-1.605937,1.325938,0.141886,0.001534
1449,12.075000,0.004723,0.997437,-0.021420,0.068108,-1.605970,1.325971,0.141869,0.001543
1450,12.083333,0.004940,0.997452,-0.020910,0.068036,-1.605920,1.325925,0.141882,0.001520
1451,12.091667,0.005060,0.997457,-0.020706,0.068012,-1.605905,1.325909,0.141888,0.001520
1452,12.100000,0.004840,0.997445,-0.021141,0.068075,-1.605941,1.325947,0.141874,0.001531
1453,12.108333,0.004973,0.997454,-0.020834,0.068014,-1.605916,1.325920,0.141886,0.001524
1454,12.116667,0.004901,0.997451,-0.020979,0.068021,-1.605923,1.325933,0.141880,0.001524
1455,12.125000,0.004789,0.997439,-0.021323,0.068105,-1.605957,1.325962,0.141859,0.001533
1456,12.133333,0.005297,0.997470,-0.020235,0.067949,-1.605870,1.325875,0.141905,0.001513
1457,12.141667,0.004796,0.997441,-0.021212,0.068109,-1.605952,1.325951,0.141869,0.001542
1458,12.150000,0.005004,0.997452,-0.020827,0.068051,-1.605916,1.325918,0.141885,0.001529
1459,12.158333,0.005092,0.997459,-0.020627,0.068005,-1.605907,1.325907,0.141890,0.001524
1460,12.166667,0.005178,0.997461,-0.020498,0.068001,-1.605889,1.325896,0.141900,0.001518
1461,12.175000,0.005001,0.997458,-0.020744,0.067990,-1.605899,1.325912,0.141893,0.001521
1462,12.183333,0.004932,0.997450,-0.020973,0.068046,-1.605926,1.325929,0.141884,0.001528
1463,12.191667,0.004990,0.997450,-0.020898,0.068052,-1.605920,1.325926,0.141889,0.001530
1464,12.200000,0.005029,0.997454,-0.020801,0.068022,-1.605909,1.325920,0.141892,0.001522
1465,12.208333,0.004948,0.997451,-0.020915,0.068040,-1.605924,1.325926,0.141888,0.001524
1466,12.216667,0.004876,0.997445,-0.021099,0.068074,-1.605932,1.325940,0.141888,0.001535
1467,12.225000,0.004961,0.997450,-0.020908,0.068056,-1.605920,1.325926,0.141889,0.001529
1468,12.233333,0.005105,0.997460,-0.020616,0.067984,-1.605895,1.325901,0.141902,0.001517
1469,12.241667,0.004899,0.997443,-0.021096,0.068101,-1.605940,1.325944,0.141888,0.001541
1470,12.250000,0.004850,0.997442,-0.021155,0.068099,-1.605940,1.325945,0.141883,0.001540
1471,12.258333,0.005094,0.997458,-0.020661,0.068009,-1.605896,1.325904,0.141902,0.001524
1472,12.266667,0.004866,0.997446,-0.021075,0.068066,-1.605941,1.325941,0.141883,0.001531
1473,12.275000,0.005133,0.997462,-0.020561,0.067981,-1.605891,1.325895,0.141905,0.001521
1474,12.283333,0.005032,0.997453,-0.020805,0.068043,-1.605920,1.325921,0.141891,0.001527
1475,12.291667,0.004938,0.997448,-0.020965,0.068074,-1.605937,1.325932,0.141881,0.001529
1476,12.300000,0.005087,0.997457,-0.020683,0.068018,-1.605906,1.325913,0.141896,0.001525
1477,12.308333,0.004944,0.997447,-0.021026,0.068063,-1.605935,1.325936,0.141877,0.001528
1478,12.316667,0.004902,0.997446,-0.021042,0.068073,-1.605937,1.325939,0.141876,0.001532
1479,12.325000,0.005086,0.997457,-0.020712,0.068011,-1.605902,1.325910,0.141889,0.001523
1480,12.333333,0.004751,0.997437,-0.021339,0.068134,-1.605969,1.325969,0.141864,0.001546
1481,12.341667,0.005149,0.997460,-0.020554,0.068001,-1.605896,1.325899,0.141891,0.001521
1482,12.350000,0.005085,0.997458,-0.020692,0.067991,-1.605896,1.325909,0.141891,0.001518
1483,12.358333,0.004847,0.997445,-0.021127,0.068072,-1.605949,1.325946,0.141869,0.001534
1484,12.366667,0.005014,0.997452,-0.020891,0.068029,-1.605917,1.325924,0.141880,0.001523
1485,12.375000,0.004951,0.997449,-0.020951,0.068062,-1.605925,1.325932,0.141880,0.001531
1486,12.383333,0.004874,0.997445,-0.021081,0.068083,-1.605940,1.325940,0.141871,0.001533
1487,12.391667,0.004676,0.997437,-0.021432,0.068101,-1.605979,1.325974,0.141860,0.001543
1488,12.400000,0.004672,0.997434,-0.021507,0.068130,-1.605977,1.325979,0.141860,0.001547
1489,12.408333,0.004803,0.997443,-0.021231,0.068071,-1.605950,1.325955,0.141870,0.001537
1490,12.416667,0.004845,0.997446,-0.021149,0.068053,-1.605941,1.325949,0.141868,0.001529
1491,12.425000,0.004730,0.997438,-0.021387,0.068102,-1.605956,1.325966,0.141864,0.001535
1492,12.433333,0.004663,0.997435,-0.021449,0.068127,-1.605975,1.325975,0.141857,0.001541
1493,12.441667,0.004898,0.997447,-0.021036,0.068065,-1.605936,1.325938,0.141874,0.001532
1494,12.450000,0.004900,0.997446,-0.021036,0.068075,-1.605929,1.325933,0.141873,0.001528
1495,12.458333,0.005040,0.997458,-0.020688,0.068006,-1.605905,1.325907,0.141888,0.001524
1496,12.466667,0.004845,0.997442,-0.021203,0.068085,-1.605948,1.325949,0.141866,0.001534
1497,12.475000,0.004863,0.997446,-0.021117,0.068051,-1.605934,1.325939,0.141869,0.001527
1498,12.483333,0.004854,0.997445,-0.021114,0.068076,-1.605945,1.325950,0.141868,0.001533
1499,12.491667,0.004900,0.997443,-0.021110,0.068106,-1.605935,1.325949,0.141854,0.001522
1500,12.500000,0.004742,0.997437,-0.021352,0.068124,-1.605960,1.325961,0.141856,0.001543
1501,12.508333,0.004875,0.997446,-0.021101,0.068061,-1.605936,1.325942,0.141866,0.001529
1502,12.516667,0.004847,0.997440,-0.021239,0.068111,-1.605952,1.325950,0.141857,0.001540
1503,12.525000,0.004819,0.997447,-0.021123,0.068049,-1.605948,1.325945,0.141860,0.001533
1504,12.533333,0.004943,0.997448,-0.021019,0.068054,-1.605908,1.325935,0.141855,0.001513
1505,12.541667,0.004754,0.997441,-0.021337,0.068074,-1.605954,1.325962,0.141851,0.001530
1506,12.550000,0.004961,0.997449,-0.020911,0.068067,-1.605928,1.325924,0.141864,0.001531
1507,12.558333,0.004782,0.997443,-0.021211,0.068077,-1.605951,1.325953,0.141854,0.001533
1508,12.566667,0.005108,0.997459,-0.020583,0.068018,-1.605901,1.325898,0.141879,0.001523
1509,12.575000,0.004907,0.997450,-0.020967,0.068050,-1.605931,1.325931,0.141872,0.001534
1510,12.583333,0.005012,0.997455,-0.020767,0.068017,-1.605909,1.325916,0.141879,0.001527
1511,12.591667,0.005200,0.997466,-0.020396,0.067960,-1.605870,1.325881,0.141898,0.001516
1512,12.600000,0.005006,0.997452,-0.020872,0.068030,-1.605912,1.325920,0.141881,0.001527
1513,12.608333,0.005141,0.997463,-0.020498,0.067978,-1.605878,1.325889,0.141897,0.001518
1514,12.616667,0.005006,0.997451,-0.020840,0.068059,-1.605917,1.325917,0.141886,0.001536
1515,12.625000,0.005397,0.997475,-0.020064,0.067916,-1.605846,1.325853,0.141918,0.001509
1516,12.633333,0.005214,0.997468,-0.020340,0.067941,-1.605874,1.325877,0.141908,0.001513
1517,12.641667,0.005474,0.997476,-0.019924,0.067925,-1.605840,1.325842,0.141925,0.001510
1518,12.650000,0.005266,0.997467,-0.020306,0.067960,-1.605872,1.325875,0.141913,0.001515
1519,12.658333,0.005354,0.997474,-0.020079,0.067919,-1.605850,1.325858,0.141923,0.001509
1520,12.666667,0.005324,0.997471,-0.020172,0.067946,-1.605858,1.325860,0.141918,0.001509
1521,12.675000,0.005170,0.997461,-0.020542,0.067993,-1.605891,1.325891,0.141901,0.001517
1522,12.683333,0.005145,0.997461,-0.020542,0.067989,-1.605896,1.325894,0.141900,0.001518
1523,12.691667,0.005185,0.997464,-0.020459,0.067971,-1.605884,1.325884,0.141898,0.001511
1524,12.700000,0.005327,0.997471,-0.020232,0.067925,-1.605862,1.325866,0.141910,0.001506
1525,12.708333,0.005129,0.997462,-0.020583,0.067973,-1.605896,1.325894,0.141893,0.001512
1526,12.716667,0.005060,0.997455,-0.020783,0.068010,-1.605898,1.325910,0.141886,0.001516
1527,12.725000,0.005260,0.997466,-0.020385,0.067955,-1.605874,1.325881,0.141896,0.001509
1528,12.733333,0.005057,0.997455,-0.020775,0.068014,-1.605906,1.325915,0.141878,0.001516
1529,12.741667,0.004869,0.997447,-0.021085,0.068056,-1.605933,1.325941,0.141872,0.001531
1530,12.750000,0.005052,0.997456,-0.020736,0.068013,-1.605914,1.325916,0.141876,0.001521
1531,12.758333,0.004980,0.997453,-0.020874,0.068026,-1.605910,1.325921,0.141878,0.001523
1532,12.766667,0.004977,0.997450,-0.020900,0.068059,-1.605917,1.325929,0.141873,0.001529
1533,12.775000,0.004991,0.997454,-0.020825,0.068018,-1.605915,1.325922,0.141875,0.001524
1534,12.783333,0.004845,0.997441,-0.021203,0.068100,-1.605954,1.325953,0.141861,0.001536
1535,12.791667,0.004808,0.997438,-0.021290,0.068121,-1.605955,1.325960,0.141861,0.001540
1536,12.800000,0.004848,0.997447,-0.021128,0.068046,-1.605938,1.325948,0.141867,0.001530
1537,12.808333,0.004986,0.997451,-0.020896,0.068046,-1.605922,1.325928,0.141877,0.001529
1538,12.816667,0.005008,0.997453,-0.020844,0.068034,-1.605915,1.325924,0.141884,0.001526
1539,12.825000,0.004750,0.997441,-0.021301,0.068085,-1.605946,1.325957,0.141868,0.001533
1540,12.833333,0.004693,0.997435,-0.021472,0.068127,-1.605974,1.325976,0.141861,0.001544
1541,12.841667,0.004585,0.997431,-0.021625,0.068136,-1.605987,1.325988,0.141856,0.001547
1542,12.850000,0.004899,0.997445,-0.021092,0.068075,-1.605933,1.325940,0.141878,0.001530
1543,12.858333,0.004837,0.997444,-0.021146,0.068075,-1.605941,1.325944,0.141879,0.001534
1544,12.866667,0.005132,0.997461,-0.020562,0.067985,-1.605887,1.325896,0.141907,0.001518
1545,12.875000,0.004921,0.997448,-0.021003,0.068068,-1.605935,1.325933,0.141884,0.001534
1546,12.883333,0.004897,0.997444,-0.021113,0.068084,-1.605940,1.325942,0.141881,0.001535
1547,12.891667,0.004893,0.997450,-0.020995,0.068040,-1.605931,1.325932,0.141882,0.001527
1548,12.900000,0.004974,0.997452,-0.020871,0.068042,-1.605919,1.325924,0.141893,0.001530
1549,12.908333,0.004927,0.997450,-0.020970,0.068048,-1.605931,1.325934,0.141883,0.001530
1550,12.916667,0.004959,0.997451,-0.020902,0.068044,-1.605924,1.325925,0.141888,0.001532
1551,12.925000,0.004952,0.997451,-0.020897,0.068044,-1.605919,1.325923,0.141885,0.001529
1552,12.933333,0.004778,0.997440,-0.021253,0.068103,-1.605959,1.325958,0.141870,0.001541
1553,12.941667,0.005156,0.997462,-0.020496,0.067992,-1.605893,1.325894,0.141893,0.001516
1554,12.950000,0.005253,0.997465,-0.020381,0.067971,-1.605879,1.325884,0.141901,0.001509
1555,12.958333,0.005009,0.997449,-0.020911,0.068070,-1.605929,1.325929,0.141881,0.001528
1556,12.966667,0.005043,0.997458,-0.020685,0.067995,-1.605901,1.325908,0.141892,0.001518
1557,12.975000,0.005053,0.997458,-0.020674,0.068006,-1.605911,1.325909,0.141893,0.001524
1558,12.983333,0.004880,0.997449,-0.021022,0.068046,-1.605939,1.325938,0.141879,0.001529
1559,12.991667,0.005033,0.997453,-0.020820,0.068030,-1.605919,1.325920,0.141891,0.001528
1560,13.000000,0.005110,0.997462,-0.020548,0.067981,-1.605892,1.325895,0.141906,0.001522
1561,13.008333,0.004954,0.997450,-0.020915,0.068054,-1.605940,1.325933,0.141886,0.001528
1562,13.016667,0.004786,0.997439,-0.021287,0.068115,-1.605959,1.325961,0.141880,0.001538
1563,13.025000,0.004905,0.997449,-0.021006,0.068053,-1.605930,1.325935,0.141897,0.001528
1564,13.033333,0.004960,0.997452,-0.020886,0.068042,-1.605924,1.325924,0.141903,0.001529
1565,13.041667,0.004747,0.997443,-0.021259,0.068069,-1.605957,1.325956,0.141891,0.001536
1566,13.050000,0.005004,0.997453,-0.020830,0.068029,-1.605912,1.325915,0.141906,0.001521
1567,13.058333,0.005082,0.997459,-0.020614,0.068002,-1.605905,1.325902,0.141921,0.001518
1568,13.066667,0.004720,0.997440,-0.021320,0.068096,-1.605967,1.325959,0.141892,0.001539
1569,13.075000,0.004797,0.997442,-0.021207,0.068088,-1.605951,1.325948,0.141899,0.001535
1570,13.083333,0.004929,0.997450,-0.020998,0.068030,-1.605930,1.325930,0.141906,0.001524
1571,13.091667,0.004946,0.997453,-0.020858,0.068029,-1.605937,1.325925,0.141909,0.001528
1572,13.100000,0.004776,0.997441,-0.021255,0.068091,-1.605966,1.325956,0.141897,0.001542
1573,13.108333,0.005027,0.997456,-0.020762,0.068011,-1.605916,1.325913,0.141913,0.001519
1574,13.116667,0.004812,0.997446,-0.021088,0.068067,-1.605946,1.325944,0.141899,0.001535
1575,13.125000,0.004948,0.997452,-0.020863,0.068035,-1.605930,1.325925,0.141905,0.001530
1576,13.133333,0.004676,0.997439,-0.021388,0.068084,-1.605972,1.325971,0.141882,0.001540
1577,13.141667,0.004774,0.997441,-0.021279,0.068090,-1.605961,1.325958,0.141889,0.001541
1578,13.150000,0.005087,0.997458,-0.020614,0.068022,-1.605911,1.325908,0.141907,0.001522
1579,13.158333,0.005064,0.997456,-0.020705,0.068030,-1.605911,1.325910,0.141904,0.001520
1580,13.166667,0.004685,0.997437,-0.021443,0.068106,-1.605975,1.325976,0.141878,0.001542
1581,13.175000,0.004975,0.997453,-0.020840,0.068034,-1.605925,1.325922,0.141899,0.001527
1582,13.183333,0.004949,0.997450,-0.020908,0.068052,-1.605933,1.325934,0.141894,0.001527
1583,13.191667,0.004751,0.997442,-0.021279,0.068077,-1.605962,1.325964,0.141883,0.001538
1584,13.200000,0.004898,0.997449,-0.021003,0.068052,-1.605944,1.325938,0.141893,0.001532
1585,13.208333,0.004884,0.997445,-0.021090,0.068080,-1.605948,1.325944,0.141888,0.001530
1586,13.216667,0.005133,0.997464,-0.020503,0.067969,-1.605893,1.325892,0.141913,0.001518
1587,13.225000,0.004961,0.997451,-0.020874,0.068052,-1.605935,1.325922,0.141899,0.001535
1588,13.233333,0.004960,0.997453,-0.020847,0.068035,-1.605936,1.325925,0.141903,0.001530
1589,13.241667,0.004948,0.997451,-0.020878,0.068047,-1.605938,1.325925,0.141902,0.001530
1590,13.250000,0.004836,0.997447,-0.021112,0.068049,-1.605950,1.325946,0.141897,0.001530
1591,13.258333,0.005077,0.997462,-0.020579,0.067973,-1.605904,1.325899,0.141918,0.001516
1592,13.266667,0.004790,0.997445,-0.021154,0.068072,-1.605964,1.325948,0.141901,0.001541
1593,13.275000,0.004979,0.997452,-0.020808,0.068054,-1.605936,1.325922,0.141911,0.001532
1594,13.283333,0.004921,0.997450,-0.020937,0.068047,-1.605935,1.325929,0.141908,0.001529
1595,13.291667,0.004814,0.997447,-0.021126,0.068047,-1.605946,1.325942,0.141903,0.001531
1596,13.300000,0.004922,0.997452,-0.020909,0.068037,-1.605935,1.325930,0.141908,0.001531
1597,13.308333,0.004868,0.997448,-0.021038,0.068047,-1.605938,1.325935,0.141905,0.001528
1598,13.316667,0.004818,0.997444,-0.021173,0.068074,-1.605954,1.325950,0.141895,0.001534
1599,13.325000,0.005020,0.997457,-0.020727,0.068008,-1.605915,1.325913,0.141913,0.001523
1600,13.333333,0.004777,0.997442,-0.021230,0.068087,-1.605962,1.325954,0.141892,0.001536
1601,13.341667,0.005003,0.997456,-0.020779,0.068002,-1.605910,1.325913,0.141911,0.001522
1602,13.350000,0.004963,0.997452,-0.020853,0.068038,-1.605933,1.325926,0.141901,0.001530
1603,13.358333,0.004755,0.997442,-0.021255,0.068086,-1.605962,1.325957,0.141885,0.001538
1604,13.366667,0.004710,0.997440,-0.021359,0.068080,-1.605968,1.325970,0.141881,0.001538
1605,13.375000,0.004890,0.997448,-0.021042,0.068051,-1.605937,1.325938,0.141891,0.001530
1606,13.383333,0.004671,0.997435,-0.021490,0.068122,-1.605981,1.325980,0.141874,0.001545
1607,13.391667,0.004728,0.997442,-0.021275,0.068070,-1.605967,1.325962,0.141876,0.001538
1608,13.400000,0.004824,0.997445,-0.021136,0.068075,-1.605949,1.325947,0.141886,0.001537
1609,13.408333,0.005128,0.997463,-0.020526,0.067978,-1.605899,1.325895,0.141911,0.001520
1610,13.416667,0.004620,0.997436,-0.021476,0.068113,-1.605984,1.325976,0.141873,0.001545
1611,13.425000,0.004893,0.997448,-0.021010,0.068059,-1.605939,1.325931,0.141895,0.001533
1612,13.433333,0.004829,0.997444,-0.021120,0.068093,-1.605956,1.325946,0.141891,0.001540
1613,13.441667,0.004881,0.997451,-0.020986,0.068031,-1.605933,1.325934,0.141897,0.001527
1614,13.450000,0.004798,0.997447,-0.021122,0.068052,-1.605947,1.325941,0.141892,0.001527
1615,13.458333,0.004972,0.997454,-0.020835,0.068027,-1.605921,1.325918,0.141909,0.001529
1616,13.466667,0.005076,0.997460,-0.020612,0.067994,-1.605904,1.325901,0.141919,0.001520
1617,13.475000,0.004661,0.997436,-0.021449,0.068114,-1.605983,1.325973,0.141885,0.001542
1618,13.483333,0.005044,0.997458,-0.020691,0.067999,-1.605909,1.325905,0.141919,0.001525
1619,13.491667,0.004737,0.997441,-0.021263,0.068094,-1.605960,1.325956,0.141893,0.001537
1620,13.500000,0.004829,0.997447,-0.021100,0.068052,-1.605950,1.325944,0.141903,0.001535
1621,13.508333,0.004889,0.997447,-0.021042,0.068064,-1.605945,1.325936,0.141904,0.001535
1622,13.516667,0.005063,0.997458,-0.020637,0.068015,-1.605909,1.325904,0.141919,0.001526
1623,13.525000,0.004868,0.997447,-0.021045,0.068067,-1.605940,1.325933,0.141902,0.001533
1624,13.533333,0.004861,0.997446,-0.021051,0.068083,-1.605950,1.325938,0.141905,0.001541
1625,13.541667,0.004833,0.997447,-0.021082,0.068056,-1.605949,1.325943,0.141896,0.001530
1626,13.550000,0.005014,0.997451,-0.020862,0.068052,-1.605926,1.325919,0.141910,0.001535
1627,13.558333,0.004898,0.997450,-0.020968,0.068045,-1.605939,1.325935,0.141901,0.001531
1628,13.566667,0.004948,0.997453,-0.020864,0.068026,-1.605925,1.325926,0.141900,0.001528
1629,13.575000,0.004860,0.997446,-0.021071,0.068069,-1.605938,1.325939,0.141896,0.001536
1630,13.583333,0.004997,0.997457,-0.020718,0.068012,-1.605915,1.325913,0.141903,0.001524
1631,13.591667,0.004829,0.997446,-0.021108,0.068067,-1.605948,1.325945,0.141890,0.001535
1632,13.600000,0.005099,0.997455,-0.020726,0.068030,-1.605913,1.325911,0.141904,0.001524
1633,13.608333,0.004980,0.997451,-0.020913,0.068042,-1.605922,1.325925,0.141901,0.001531
1634,13.616667,0.004836,0.997444,-0.021126,0.068081,-1.605954,1.325944,0.141889,0.001539
1635,13.625000,0.004893,0.997449,-0.020980,0.068058,-1.605940,1.325934,0.141894,0.001531
1636,13.633333,0.004868,0.997444,-0.021132,0.068077,-1.605953,1.325948,0.141887,0.001535
1637,13.641667,0.004856,0.997446,-0.021097,0.068063,-1.605951,1.325945,0.141894,0.001535
1638,13.650000,0.004758,0.997442,-0.021297,0.068074,-1.605961,1.325959,0.141885,0.001532
1639,13.658333,0.004690,0.997440,-0.021365,0.068075,-1.605966,1.325965,0.141885,0.001536
1640,13.666667,0.004867,0.997447,-0.021035,0.068073,-1.605950,1.325940,0.141905,0.001541
1641,13.675000,0.005119,0.997462,-0.020529,0.067990,-1.605904,1.325896,0.141920,0.001520
1642,13.683333,0.004860,0.997447,-0.021073,0.068065,-1.605938,1.325939,0.141910,0.001537
1643,13.691667,0.005127,0.997458,-0.020593,0.068019,-1.605902,1.325905,0.141927,0.001524
1644,13.700000,0.004913,0.997450,-0.020972,0.068048,-1.605934,1.325928,0.141908,0.001529
1645,13.708333,0.004946,0.997450,-0.020941,0.068056,-1.605940,1.325931,0.141912,0.001534
1646,13.716667,0.005026,0.997455,-0.020793,0.068018,-1.605919,1.325919,0.141917,0.001524
1647,13.725000,0.004778,0.997440,-0.021291,0.068104,-1.605967,1.325959,0.141895,0.001538
1648,13.733333,0.004923,0.997449,-0.020958,0.068056,-1.605935,1.325932,0.141907,0.001530
1649,13.741667,0.004880,0.997447,-0.021033,0.068068,-1.605951,1.325943,0.141905,0.001536
1650,13.750000,0.004823,0.997446,-0.021103,0.068065,-1.605955,1.325945,0.141900,0.001537
1651,13.758333,0.005138,0.997458,-0.020587,0.068029,-1.605916,1.325903,0.141917,0.001525
1652,13.766667,0.004933,0.997450,-0.020937,0.068054,-1.605931,1.325929,0.141905,0.001530
1653,13.775000,0.004950,0.997449,-0.020920,0.068068,-1.605942,1.325932,0.141901,0.001532
1654,13.783333,0.004896,0.997448,-0.021041,0.068051,-1.605945,1.325942,0.141892,0.001526
1655,13.791667,0.005020,0.997457,-0.020730,0.068000,-1.605917,1.325916,0.141907,0.001524
1656,13.800000,0.004781,0.997439,-0.021314,0.068100,-1.605967,1.325963,0.141882,0.001536
1657,13.808333,0.004770,0.997437,-0.021341,0.068124,-1.605971,1.325965,0.141885,0.001542
1658,13.816667,0.004942,0.997450,-0.020927,0.068047,-1.605937,1.325931,0.141898,0.001530
1659,13.825000,0.005089,0.997454,-0.020710,0.068048,-1.605914,1.325912,0.141909,0.001526
1660,13.833333,0.004777,0.997440,-0.021251,0.068108,-1.605963,1.325961,0.141888,0.001541
1661,13.841667,0.004739,0.997438,-0.021360,0.068114,-1.605976,1.325968,0.141883,0.001543
1662,13.850000,0.004985,0.997450,-0.020916,0.068059,-1.605932,1.325927,0.141903,0.001531
1663,13.858333,0.005092,0.997458,-0.020647,0.068010,-1.605908,1.325905,0.141913,0.001522
1664,13.866667,0.004879,0.997446,-0.021081,0.068067,-1.605940,1.325943,0.141902,0.001535
1665,13.875000,0.005180,0.997462,-0.020484,0.068000,-1.605893,1.325889,0.141920,0.001519
1666,13.883333,0.004939,0.997452,-0.020895,0.068029,-1.605921,1.325924,0.141914,0.001531
1667,13.891667,0.004757,0.997438,-0.021340,0.068110,-1.605966,1.325963,0.141893,0.001540
1668,13.900000,0.004830,0.997446,-0.021115,0.068056,-1.605945,1.325943,0.141906,0.001537
1669,13.908333,0.004784,0.997437,-0.021374,0.068118,-1.605965,1.325966,0.141893,0.001540
1670,13.916667,0.004820,0.997447,-0.021102,0.068049,-1.605945,1.325947,0.141902,0.001532
1671,13.925000,0.004907,0.997448,-0.020992,0.068063,-1.605933,1.325934,0.141908,0.001534
1672,13.933333,0.005023,0.997455,-0.020735,0.068033,-1.605922,1.325913,0.141912,0.001523
1673,13.941667,0.004884,0.997449,-0.021019,0.068047,-1.605932,1.325937,0.141913,0.001536
1674,13.950000,0.004918,0.997447,-0.021049,0.068065,-1.605938,1.325940,0.141901,0.001533
1675,13.958333,0.004799,0.997442,-0.021225,0.068082,-1.605955,1.325952,0.141892,0.001537
1676,13.966667,0.004896,0.997446,-0.021041,0.068076,-1.605945,1.325938,0.141894,0.001533
1677,13.975000,0.004662,0.997435,-0.021486,0.068120,-1.605982,1.325981,0.141874,0.001547
1678,13.983333,0.004963,0.997452,-0.020888,0.068040,-1.605926,1.325927,0.141896,0.001531
1679,13.991667,0.004957,0.997450,-0.020956,0.068044,-1.605933,1.325930,0.141889,0.001528
1680,14.000000,0.004709,0.997438,-0.021381,0.068104,-1.605967,1.325966,0.141868,0.001538
1681,14.008333,0.004964,0.997448,-0.021000,0.068051,-1.605925,1.325930,0.141878,0.001527
1682,14.016667,0.004981,0.997449,-0.020936,0.068058,-1.605922,1.325929,0.141873,0.001527
1683,14.025000,0.004982,0.997452,-0.020869,0.068036,-1.605908,1.325922,0.141875,0.001524
1684,14.033333,0.004793,0.997442,-0.021226,0.068083,-1.605947,1.325956,0.141853,0.001534
1685,14.041667,0.004926,0.997445,-0.021080,0.068082,-1.605920,1.325948,0.141848,0.001519
1686,14.050000,0.004777,0.997437,-0.021357,0.068119,-1.605950,1.325968,0.141848,0.001541
1687,14.058333,0.004698,0.997433,-0.021503,0.068140,-1.605966,1.325979,0.141836,0.001545
1688,14.066667,0.004997,0.997453,-0.020837,0.068034,-1.605909,1.325925,0.141861,0.001524
1689,14.075000,0.004847,0.997444,-0.021168,0.068075,-1.605937,1.325955,0.141851,0.001536
1690,14.083333,0.004693,0.997435,-0.021468,0.068119,-1.605965,1.325977,0.141838,0.001541
1691,14.091667,0.004923,0.997449,-0.021011,0.068049,-1.605917,1.325933,0.141865,0.001531
1692,14.100000,0.004931,0.997449,-0.020969,0.068052,-1.605917,1.325927,0.141868,0.001529
1693,14.108333,0.004848,0.997443,-0.021204,0.068081,-1.605942,1.325953,0.141854,0.001531
1694,14.116667,0.004762,0.997437,-0.021359,0.068120,-1.605953,1.325964,0.141857,0.001540
1695,14.125000,0.004631,0.997434,-0.021524,0.068124,-1.605977,1.325977,0.141850,0.001545
1696,14.133333,0.004992,0.997455,-0.020811,0.068009,-1.605915,1.325914,0.141879,0.001522
