0,-0151,00484,10901,00008,-0004,00006
1,-0280,00448,08476,-0003,-0003,00005
0,-0230,00513,10842,-0001,-0008,-0001
1,-0264,00492,08572,-0004,00009,00008
0,-0177,00516,10856,-0007,00016,00009
1,-0252,00336,08536,-0004,00005,-0003
0,-0131,00514,10890,00002,00000,-0003
1,-0192,00316,08436,00002,00008,00002
0,-0139,00488,10916,-0012,-0001,-0001
1,-0344,00452,08500,-0003,00013,00004
0,-0205,00479,10848,00000,00003,00003
1,-0268,00476,08504,-0007,-0009,00000
0,-0095,00543,10923,-0003,00002,-0003
1,-0248,00404,08580,-0003,00011,-0004
0,-0166,00493,10806,00006,-0008,-0008
1,-0140,00464,08516,00000,-0002,-0006
0,-0216,00500,10842,00007,-0009,00013
1,-0196,00432,08576,-0013,00007,00000
0,-0180,00434,10924,00007,00012,00006
1,-0308,00276,08592,00003,00021,00011
0,-0239,00407,10757,-0015,00008,-0004
1,-0172,00344,08560,00002,00014,00004
0,-0197,00554,10869,-0001,00000,-0005
1,-0416,00340,08548,00000,00008,00010
0,-0227,00442,10940,-0002,00002,00001
1,-0272,00436,08508,-0004,00000,00006
0,-0159,00435,10920,00012,-0014,00006
1,-0284,00404,08608,-0004,00013,-0004
0,-0182,00403,10833,-0006,00004,-0004
1,-0296,00384,08420,00002,-0006,00009
0,-0185,00460,10868,00005,00015,00006
1,-0332,00396,08628,00008,00004,00015
0,-0212,00438,10813,00005,-0008,-0007
1,-0284,00372,08452,00001,00002,00003
0,-0172,00485,10856,-0001,00014,00001
1,-0200,00284,08540,00004,00010,00005
0,-0250,00492,10883,00003,-0002,-0002
1,-0296,00444,08504,00000,00011,00002
0,-0198,00452,10893,-0011,00004,00000
1,-0260,00396,08516,00007,00011,-0001
0,-0201,00411,10934,00017,00000,-0011
1,-0324,00328,08444,-0001,00015,-0005
0,-0175,00470,10888,00010,-0001,-0015
1,-0292,00456,08452,-0001,00019,-0005
0,-0176,00458,10909,-0010,00009,-0006
1,-0168,00440,08512,00008,00009,00013
0,-0261,00532,10886,00013,-0008,-0001
1,-0288,00364,08488,-0008,00009,00004
0,-0132,00468,10842,-0009,00002,00009
1,-0272,00380,08568,-0001,00001,-0003
0,-0210,00516,10860,00002,-0009,-0003
1,-0292,00364,08508,-0003,-0003,00000
0,-0184,00399,10841,00006,00003,-0022
1,-0340,00344,08600,00003,00003,00003
0,-0195,00408,11004,00009,-0001,-0005
1,-0284,00384,08440,-0001,00000,00005
0,-0142,00473,10941,-0001,-0009,00003
1,-0304,00352,08484,-0002,00007,00001
0,-0160,00451,10951,00008,00005,-0003
1,-0292,00484,08512,00015,00005,00007
0,-0157,00422,10930,-0007,-0005,-0009
1,-0320,00340,08524,-0010,00008,00010
0,-0210,00411,10902,00024,00008,00020
1,-0260,00428,08464,-0007,00008,00000
0,-0165,00423,10952,-0005,-0002,-0010
1,-0224,00344,08420,00003,00008,00010
0,-0146,00484,10849,00020,-0002,00004
1,-0236,00500,08560,00003,00009,-0003
0,-0161,00458,10835,00006,00018,-0002
1,-0216,00348,08512,00001,00007,-0001
0,-0105,00418,10889,-0008,-0002,00004
1,-0172,00292,08448,00012,00014,00019
0,-0228,00480,10908,00007,-0002,00007
1,-0164,00356,08400,-0001,00005,00003
0,-0193,00458,10870,-0004,-0001,-0008
1,-0288,00412,08544,-0007,00006,-0009
0,-0145,00412,10878,00003,00003,-0004
1,-0264,00388,08500,00003,00009,-0003
0,-0151,00488,10880,00003,00010,00015
1,-0196,00364,08476,00002,00010,00010
0,-0178,00490,10834,-0002,-0012,00004
1,-0288,00428,08508,00007,00000,-0005
0,-0173,00472,10854,-0010,00002,-0003
1,-0244,00440,08608,00000,00008,00001
0,-0127,00522,10893,00004,-0008,-0007
1,-0292,00380,08536,-0008,00003,00005
0,-0182,00490,10865,00001,-0003,00005
1,-0160,00476,08548,-0009,00007,-0005
0,-0066,00508,10871,-0005,00005,-0006
1,-0320,00384,08588,-0014,00010,00012
0,-0183,00525,10967,00021,-0001,-0002
1,-0248,00408,08544,-0006,-0009,00005
0,-0104,00487,10902,00003,-0001,-0006
1,-0336,00436,08608,-0006,00001,00002
0,-0131,00453,10919,-0001,00004,00008
1,-0288,00472,08476,00006,00004,00004
0,-0137,00505,10919,00010,00009,-0010
1,-0152,00424,08560,00012,00006,00007
0,-0110,00497,10905,00003,-0011,-0003
1,-0220,00324,08448,-0002,00008,00011
0,-0103,00502,10807,00002,00008,00014
1,-0204,00460,08556,-0008,00001,00006
0,-0106,00500,10874,00013,-0001,-0003
1,-0208,00408,08528,00001,-0001,00004
0,-0182,00511,10909,-0005,-0017,-0011
1,-0336,00424,08536,00006,00011,-0004
0,-0094,00571,10909,00015,00008,00009
1,-0192,00528,08476,-0004,00004,00005
0,-0154,00533,10880,-0004,-0013,00001
1,-0260,00384,08480,-0004,00013,00015
0,-0153,00490,10873,-0003,00010,-0006
1,-0184,00360,08472,-0007,-0001,00017
0,-0160,00481,10806,00000,-0002,-0010
1,-0220,00472,08564,00007,-0003,00010
0,-0064,00531,10807,-0001,-0005,-0009
1,-0248,00512,08484,-0009,00006,00000
0,-0147,00457,10902,00016,-0010,00007
1,-0196,00444,08536,00003,-0004,00006
0,-0164,00478,10820,-0014,-0005,00015
1,-0208,00472,08624,00011,-0001,00007
0,-0164,00544,10859,-0001,00004,-0010
1,-0400,00384,08556,-0012,00007,00014
0,-0156,00565,10902,00026,00001,-0008
1,-0284,00416,08508,-0006,00006,00008
0,-0063,00567,10895,-0003,-0013,00001
1,-0280,00452,08568,00005,00007,00002
0,-0076,00574,10995,00009,00005,-0004
1,-0360,00436,08512,-0001,00012,00005
0,-0159,00482,10931,-0009,-0002,-0011
1,-0292,00328,08624,-0005,00002,00005
0,-0118,00425,10990,-0005,-0007,-0002
1,-0236,00396,08564,-0005,00004,-0003
0,-0055,00510,10861,00010,-0005,-0006
1,-0196,00416,08568,00000,00006,00001
0,-0094,00507,10860,00002,00012,00018
1,-0288,00420,08500,00003,00005,00008
0,-0063,00524,10781,00003,00030,00003
1,-0312,00328,08612,00003,00002,-0001
0,-0058,00496,10841,-0010,-0015,00002
1,-0192,00376,08616,-0012,00004,00001
0,-0163,00481,10846,00008,-0005,00007
1,-0216,00436,08628,-0003,00015,00004
0,-0212,00528,10827,-0007,-0008,-0012
1,-0372,00436,08596,-0002,00018,00012
0,-0179,00522,10899,-0002,00015,-0005
1,-0192,00468,08464,-0004,00010,-0002
0,-0184,00549,10873,00008,00010,-0003
1,-0212,00464,08468,-0001,00014,00005
0,-0068,00505,10803,00006,-0008,-0003
1,-0140,00372,08508,-0003,00003,00000
0,-0137,00460,10834,00012,00002,-0002
1,-0232,00364,08580,-0001,00008,00009
0,-0106,00531,10873,00004,-0002,-0009
1,-0108,00384,08552,00002,00001,00015
0,-0111,00503,10807,-0001,-0015,00004
1,-0240,00420,08584,00006,00003,00003
0,-0124,00467,10787,00004,-0006,-0017
1,-0232,00336,08528,00009,-0003,-0002
0,-0144,00555,10861,00001,00014,00014
1,-0248,00392,08512,00001,00008,-0004
0,-0154,00497,10820,00020,00011,-0006
1,-0256,00412,08556,-0003,00005,-0006
0,-0252,00534,10902,-0007,-0008,-0007
1,-0188,00580,08568,00001,00009,00011
0,-0095,00486,10933,-0002,00011,00006
1,-0200,00396,08508,-0013,00005,-0001
0,-0173,00535,10902,-0002,-0013,00014
1,-0276,00364,08596,00001,00003,-0001
0,-0137,00488,10944,-0008,-0007,-0018
1,-0208,00360,08468,00001,00004,00008
0,-0167,00487,10908,00003,00002,-0022
1,-0292,00368,08580,00000,00021,-0008
0,-0114,00498,10951,00007,00006,00012
1,-0200,00360,08436,00008,00005,00005
0,-0182,00532,10859,00000,00006,-0006
1,-0288,00492,08436,-0001,00014,00003
0,-0089,00477,10895,00012,-0001,-0009
1,-0248,00480,08480,00004,00005,-0003
0,-0115,00437,10790,-0008,-0008,00002
1,-0236,00556,08524,00010,00009,00005
0,-0105,00497,10885,00012,-0001,00008
1,-0244,00280,08560,-0007,00010,-0001
0,-0181,00516,10840,-0016,00013,-0029
1,-0220,00368,08536,-0003,00000,00002
0,-0096,00478,10882,00009,00012,00012
1,-0248,00368,08508,00004,00006,-0007
0,-0160,00385,10857,-0006,-0007,00003
1,-0148,00484,08596,-0013,00006,00000
0,-0150,00473,10942,00015,00005,00005
1,-0252,00348,08552,00004,00009,00006
0,-0144,00410,10889,00008,00013,-0013
1,-0184,00428,08520,-0001,00003,00001
0,-0180,00496,10948,00007,00000,00008
